2024-12-02 01:03:13;Lost;0.0 minutes, 0.0 seconds;20;2
2024-12-02 01:03:30;Lost;0 minutes, 0 seconds;20;1
2024-12-02 01:03:32;Lost;0.0 minutes, 0.0 seconds;20;2
2024-12-02 01:03:36;Lost;0.0 minutes, 2.0 seconds;18;4
2024-12-02 01:03:40;Lost;0.0 minutes, 2.0 seconds;20;8
2024-12-02 01:03:51;Lost;0.0 minutes, 9.0 seconds;15;14
2024-12-02 01:03:54;Lost;0 minutes, 0 seconds;20;1
2024-12-02 01:04:26;Lost;0.0 minutes, 30.0 seconds;13;17
2024-12-02 01:06:39;Lost;0.0 minutes, 20.0 seconds;10;22
2024-12-02 01:07:13;Lost;0.0 minutes, 30.0 seconds;7;39
2024-12-02 01:07:25;Lost;0 minutes, 0 seconds;20;1
2024-12-02 01:08:16;Won;0.0 minutes, 44.0 seconds;0;54
2024-12-02 12:22:52;Won;0 minutes, 0 seconds;0;1
2024-12-02 12:22:57;Won;0 minutes, 0 seconds;0;1
2024-12-02 13:03:04;Won;0.0 minutes, 14.0 seconds;0;3
2024-12-02 13:05:47;Lost;0.0 minutes, 23.0 seconds;5;41
2024-12-02 13:06:21;Lost;0 minutes, 0 seconds;20;1
2024-12-02 13:06:23;Lost;0.0 minutes, 0.0 seconds;20;2
2024-12-02 13:06:25;Lost;0.0 minutes, 0.0 seconds;20;3
2024-12-02 13:06:27;Lost;0.0 minutes, 0.0 seconds;20;2
2024-12-02 13:06:29;Lost;0.0 minutes, 0.0 seconds;20;3
2024-12-02 13:06:31;Lost;0.0 minutes, 0.0 seconds;20;2
2024-12-02 13:07:10;Lost;0.0 minutes, 35.0 seconds;5;51
2024-12-02 13:09:23;Lost;0.0 minutes, 8.0 seconds;4;16
2024-12-02 13:09:37;Won;0 minutes, 0 seconds;0;1
